Group,Gene
6,Os03g0586300
6,Os07g0587100
6,Os06g0138600
6,Os10g0363100
6,Os05g0209100
6,Os08g0503800
6,Os11g0592300
6,Os01g0642000
6,Os02g0437800
6,Os02g0755000
6,Os05g0123100
6,Os07g0573700
6,Os04g0652500
6,Os03g0145300
6,Os02g0741300
6,Os04g0636100
6,Os01g0858900
6,Os04g0487100
6,Os02g0722300
6,Os06g0649700
6,Os07g0195200
6,Os01g0703600
6,Os11g0107600
6,Os09g0416700
6,Os08g0472600
6,Os03g0710900
6,Os05g0472200
6,Os01g0147300
6,Os12g0425600
6,Os12g0639700
6,Os06g0488600
6,Os07g0567050
6,Os07g0567000
6,Os12g0554400
6,Os06g0623050
6,Os06g0622800
6,Os11g0546100
6,Os02g0321800
6,Os08g0451000
6,Os08g0395300
6,Os05g0452900
6,Os02g0768200
6,Os11g0490100
6,Os02g0613100
6,Os04g0650366
6,Os04g0650300
6,Os09g0415700
6,Os02g0172600
6,Os05g0543100
6,Os07g0501800
6,Os03g0849600
6,Os01g0232400
6,Os03g0775200
6,Os03g0667500
6,Os03g0582000
6,Os05g0378800
6,Os10g0569300
6,Os01g0744400
6,Os01g0867900
6,Os07g0208500
6,Os05g0503000
6,Os10g0561200
6,Os11g0284900
6,Os05g0176100
6,Os07g0620300
6,Os11g0602900
6,Os10g0377400
6,Os02g0527900
6,Os03g0246800
6,Os04g0477500
6,Os10g0477100
6,Os03g0730800
6,Os03g0305800
6,Os04g0551300
6,Os07g0476500
6,Os05g0391200
6,Os09g0557700
6,Os05g0552500
6,Os03g0144800
6,Os03g0803900
6,Os09g0539100
6,Os02g0809800
6,Os01g0880200
6,Os03g0126100
6,Os01g0232800
6,Os06g0593100
6,Os04g0502200
6,Os01g0802850
6,Os02g0274900
6,Os01g0906200
6,Os08g0109100
6,Os03g0702700
6,Os04g0570800
6,Os01g0331900
6,Os02g0638900
6,Os04g0417800
6,Os06g0687900
6,Os02g0118400
6,Os04g0212200
6,Os08g0248900
6,Os06g0665800
6,Os01g0179200
6,Os10g0180000
6,Os01g0926400
6,Os05g0494500
6,Os01g0846600
6,Os06g0708500
6,Os04g0597000
6,Os02g0595100
6,Os05g0154800
6,Os05g0154700
6,Os07g0564750
6,Os07g0564700
6,Os03g0287800
6,Os01g0963300
6,Os09g0498800
6,Os07g0693700
6,Os04g0681400
6,Os04g0398600
6,Os01g0883900
6,Os08g0323700
6,Os01g0867700
6,Os06g0180000
6,Os01g0834200
6,Os10g0368400
6,Os03g0804300
6,Os10g0346600
6,Os02g0797700
6,Os02g0594900
6,Os08g0277900
6,Os11g0546500
6,Os02g0697800
6,Os06g0154500
6,Os07g0564600
6,Os12g0538900
6,Os06g0687400
6,Os08g0386700
6,Os05g0474400
6,Os01g0329400
6,Os03g0417900
6,Os11g0572400
6,Os07g0437000
6,Os05g0346100
6,Os07g0194800
6,Os10g0393100
6,Os01g0850100
6,Os08g0496900
6,Os09g0548100
6,Os09g0548066
6,Os09g0548034
6,Os11g0124900
6,Os03g0803600
7,Os06g0119600
7,Os03g0586300
7,Os07g0587100
7,Os06g0138600
7,Os10g0363100
7,Os05g0209100
7,Os02g0437800
7,Os02g0755000
7,Os07g0573700
7,Os04g0636100
7,Os04g0487100
7,Os02g0722300
7,Os06g0649700
7,Os07g0195200
7,Os01g0703600
7,Os11g0107600
7,Os08g0472600
7,Os03g0710900
7,Os05g0472200
7,Os12g0425600
7,Os06g0488600
7,Os07g0567050
7,Os07g0567000
7,Os12g0554400
7,Os06g0623050
7,Os06g0622800
7,Os08g0451000
7,Os08g0395300
7,Os05g0452900
7,Os11g0490100
7,Os02g0613100
7,Os04g0650366
7,Os04g0650300
7,Os09g0415700
7,Os02g0172600
7,Os05g0543100
7,Os07g0501800
7,Os01g0232400
7,Os03g0775200
7,Os03g0667500
7,Os05g0378800
7,Os10g0569300
7,Os01g0867900
7,Os07g0208500
7,Os05g0503000
7,Os10g0561200
7,Os11g0284900
7,Os05g0176100
7,Os07g0620300
7,Os11g0602900
7,Os10g0377400
7,Os02g0527900
7,Os03g0246800
7,Os10g0477100
7,Os03g0730800
7,Os03g0305800
7,Os04g0551300
7,Os07g0476500
7,Os05g0391200
7,Os09g0557700
7,Os05g0552500
7,Os03g0144800
7,Os03g0803900
7,Os09g0539100
7,Os02g0809800
7,Os01g0880200
7,Os03g0126100
7,Os01g0232800
7,Os04g0502200
7,Os01g0802850
7,Os02g0274900
7,Os03g0702700
7,Os04g0570800
7,Os01g0331900
7,Os02g0638900
7,Os04g0417800
7,Os06g0687900
7,Os02g0118400
7,Os04g0212200
7,Os06g0665800
7,Os10g0180000
7,Os01g0926400
7,Os05g0494500
7,Os01g0846600
7,Os04g0597000
7,Os07g0564750
7,Os07g0564700
7,Os01g0963300
7,Os09g0498800
7,Os07g0693700
7,Os04g0681400
7,Os04g0398600
7,Os01g0883900
7,Os08g0323700
7,Os01g0867700
7,Os06g0180000
7,Os01g0834200
7,Os10g0368400
7,Os03g0804300
7,Os10g0346600
7,Os02g0797700
7,Os08g0277900
7,Os11g0546500
7,Os02g0697800
7,Os06g0154500
7,Os07g0564600
7,Os06g0687400
7,Os08g0386700
7,Os05g0474400
7,Os01g0329400
7,Os03g0417900
7,Os11g0572400
7,Os05g0346100
7,Os07g0194800
7,Os10g0393100
7,Os01g0850100
7,Os08g0496900
7,Os09g0548100
7,Os09g0548066
7,Os09g0548034
7,Os11g0124900
7,Os03g0803600
8,Os06g0119600
8,Os02g0559800
8,Os02g0722300
8,Os04g0584800
8,Os02g0124700
8,Os06g0715700
8,Os07g0620300
8,Os10g0377400
8,Os12g0566400
8,Os02g0518100
8,Os04g0502200
8,Os01g0825700
8,Os02g0833300
8,Os05g0339000
8,Os04g0382700
8,Os08g0109100
8,Os01g0331900
8,Os05g0462500
8,Os03g0636600
8,Os10g0441800
8,Os07g0564750
